name,CountryCode,Predictive
acdan,Filipino,2
acedera,Filipino,2
acedillo,Filipino,2
acejo,Filipino,2
acena,Filipino,2
acenas,Filipino,2
acera,Filipino,2
aceret,Filipino,2
aceron,Filipino,2
achacoso,Filipino,2
achang,Chinese,2
achar,Indian,1
acharya,Indian,2
achuthan,Indian,1
acidera,Filipino,2
acido,Filipino,2
acierto,Filipino,2
acio,Filipino,2
aclan,Filipino,2
aclaro,Filipino,1
acob,Filipino,2
acoba,Filipino,2
acogido,Filipino,1
acojido,Filipino,2
acol,Filipino,2
acompanado,Filipino,2
acopiado,Filipino,2
acopio,Filipino,2
acorda,Filipino,1
acoymo,Filipino,1
acuario,Filipino,2
acuavera,Filipino,2
acuesta,Filipino,2
acuin,Filipino,2
acupan,Filipino,2
acupido,Filipino,2
acuzar,Filipino,2
aczon,Filipino,2
adachi,Japanese,2
adad,Filipino,1
adajar,Filipino,2
adalid,Filipino,2
adalla,Filipino,2
adamjee,Indian,1
adamos,Filipino,1
adaniya,Japanese,2
adaoag,Filipino,2
adaon,Filipino,1
adap,Filipino,2
adapon,Filipino,2
adarkar,Indian,2
adarlo,Filipino,1
adarme,Filipino,1
adarna,Filipino,2
adarne,Filipino,1
adatia,Indian,1
adaya,Filipino,1
adaza,Filipino,1
adea,Filipino,1
adecer,Filipino,2
adefuin,Filipino,2
adeva,Filipino,2
adevoso,Filipino,2
adhikari,Indian,1
adhvaryu,Indian,2
adiarte,Filipino,2
adina,Filipino,2
adinig,Filipino,2
adion,Filipino,2
aditya,Indian,1
adlao,Filipino,2
adlaon,Filipino,2
adlawan,Filipino,2
admana,Filipino,2
ado,Filipino,1
adolfo,Filipino,1
adonay,Filipino,2
adora,Filipino,2
adorable,Filipino,2
adrales,Filipino,2
adre,Filipino,2
adres,Filipino,2
adriano,Filipino,1
adrias,Filipino,2
adriatico,Filipino,1
adrid,Filipino,1
adsuara,Filipino,2
aduan,Filipino,1
aduca,Filipino,2
adusumilli,Indian,1
advento,Filipino,1
adviento,Filipino,2
adzuara,Filipino,2
ae,Korean,2
aesquivel,Filipino,2
afable,Filipino,1
afaga,Filipino,2
afalla,Filipino,2
afenir,Filipino,2
aficial,Filipino,2
afroilan,Filipino,2
afurong,Filipino,2
agabao,Filipino,1
agabon,Filipino,2
agacid,Filipino,2
agacite,Filipino,2
agad,Filipino,1
agag,Filipino,1
agagas,Filipino,1
agahan,Filipino,2
agaloos,Filipino,2
agamata,Filipino,2
agana,Filipino,2
aganad,Filipino,2
aganon,Filipino,2
agapay,Filipino,2
agaran,Filipino,2
agarano,Filipino,2
agarie,Japanese,1
agarpao,Filipino,2
agarwal,Indian,1
agarwala,Indian,2
agas,Filipino,2
agatep,Filipino,2
agaton,Filipino,2
agawa,Japanese,1
agbada,Filipino,2
agbanlog,Filipino,2
agbayani,Filipino,2
agbisit,Filipino,2
agbulos,Filipino,2
agbunag,Filipino,2
agbuya,Filipino,2
agcanas,Filipino,2
agcaoili,Filipino,2
agda,Filipino,2
agdamag,Filipino,2
agdeppa,Filipino,2
agdinaoay,Filipino,2
agdipa,Filipino,2
agduyeng,Filipino,2
agellon,Filipino,2
agena,Japanese,1
aggabao,Filipino,2
aggarwal,Indian,2
aggarwala,Indian,2
aggasid,Filipino,2
aghera,Indian,1
agito,Filipino,1
agliam,Filipino,2
aglibot,Filipino,2
aglibut,Filipino,2
aglipay,Filipino,2
agloro,Filipino,2
agluba,Filipino,2
aglubat,Filipino,2
aglugub,Filipino,2
aglupos,Filipino,2
agmata,Filipino,2
agngarayngay,Filipino,2
agni,Filipino,1
agnihotri,Indian,2
agnir,Filipino,2
agnis,Filipino,1
agno,Filipino,2
agodon,Filipino,2
agojo,Filipino,2
agoncillo,Filipino,1
agonias,Filipino,1
agonoy,Filipino,2
agoo,Filipino,2
agorilla,Filipino,2
agot,Filipino,1
agoto,Filipino,2
agoy,Filipino,2
agpalasin,Filipino,2
agpalo,Filipino,2
agpalza,Filipino,2
agpaoa,Filipino,2
agpawa,Filipino,2
agpoon,Filipino,2
agraan,Filipino,1
agravante,Filipino,2
agraviador,Filipino,2
agrawal,Indian,1
agrawala,Indian,2
agregado,Filipino,2
agresor,Filipino,2
agriam,Filipino,2
agringo,Filipino,2
agsalda,Filipino,2
agsalog,Filipino,2
agsalud,Filipino,2
agsaulio,Filipino,2
agsunod,Filipino,1
agtang,Filipino,2
agtarap,Filipino,2
agtual,Filipino,2
agtuca,Filipino,2
aguada,Filipino,2
aguda,Filipino,1
agudong,Filipino,2
agui,Filipino,2
aguil,Filipino,2
aguiling,Filipino,2
aguilon,Filipino,1
aguilos,Filipino,1
aguilucho,Filipino,1
aguiluz,Filipino,1
aguimatang,Filipino,1
aguinaldo,Filipino,2
aguipo,Filipino,1
aguiran,Filipino,2
aguisanda,Filipino,2
agujar,Filipino,1
agulan,Filipino,2
agullana,Filipino,1
agulto,Filipino,2
agunoy,Filipino,1
agustin,Filipino,2
agustines,Filipino,2
aguto,Filipino,2
ahammad,Indian,1
aherrera,Filipino,1
ahluwalia,Indian,1
ahmedullah,Indian,1
ahn,Korean,2
ahorro,Filipino,2
ahsan,Indian,1
ahsanuddin,Indian,2
ai,Chinese,1
aiba,Japanese,1
aida,Japanese,1
aihara,Japanese,2
aikawa,Japanese,2
aisporna,Filipino,2
aiyar,Indian,1
aiyer,Indian,2
aizawa,Japanese,2
ajero,Filipino,2
ajeto,Filipino,2
ajima,Japanese,2
ajmera,Indian,1
ajolo,Filipino,2
ajoste,Filipino,2
aka,Japanese,1
akabane,Japanese,1
akabori,Japanese,2
akada,Japanese,2
akagawa,Japanese,2
akagi,Japanese,2
akahane,Japanese,2
akahori,Japanese,2
akahoshi,Japanese,2
akai,Japanese,1
akaike,Japanese,2
akaishi,Japanese,2
akama,Japanese,2
akamatsu,Japanese,2
akamine,Japanese,2
akamura,Japanese,1
akao,Japanese,2
akasaka,Japanese,2
akasaki,Japanese,2
akashi,Japanese,2
akatsu,Japanese,1
akatsuka,Japanese,2
akazawa,Japanese,2
akbani,Indian,1
akbarali,Indian,1
akbari,Indian,1
akber,Indian,1
akella,Indian,1
akemoto,Japanese,2
aki,Japanese,2
akiba,Japanese,1
akimoto,Japanese,2
akimura,Japanese,1
akinaga,Japanese,2
akira,Japanese,2
akita,Japanese,2
akiya,Japanese,2
akiyama,Japanese,2
akiyoshi,Japanese,2
akizawa,Japanese,1
akizuki,Japanese,2
akune,Japanese,2
akutagawa,Japanese,2
akutsu,Japanese,2
alaan,Filipino,2
alaba,Filipino,2
alabab,Filipino,2
alabado,Filipino,2
alaban,Filipino,2
alabanza,Filipino,2
alabaso,Filipino,2
alabastro,Filipino,1
alabata,Filipino,2
alabe,Filipino,2
alacar,Filipino,2
alafriz,Filipino,2
alagao,Filipino,2
alagappan,Indian,1
alagar,Filipino,2
alagon,Filipino,2
alalay,Filipino,2
alambat,Filipino,2
alambra,Filipino,2
alamodin,Filipino,2
alandy,Filipino,2
alanes,Filipino,1
alanguilan,Filipino,2
alao,Filipino,2
alaras,Filipino,2
alarde,Filipino,2
alarva,Filipino,1
alauddin,Indian,1
alavazo,Filipino,2
alayvilla,Filipino,2
albalos,Filipino,2
albania,Filipino,2
albaniel,Filipino,2
albao,Filipino,2
albarico,Filipino,2
albarillo,Filipino,2
albay,Filipino,2
albayalde,Filipino,2
albito,Filipino,2
alburo,Filipino,2
alcairo,Filipino,2
alcalen,Filipino,1
alcancia,Filipino,2
alcantra,Filipino,1
alcaparas,Filipino,2
alcarion,Filipino,2
alcasid,Filipino,2
alcasio,Filipino,1
alcausin,Filipino,1
alcayaga,Filipino,1
alcayde,Filipino,2
alcazaren,Filipino,2
alcera,Filipino,1
alcid,Filipino,2
alcobendas,Filipino,2
alcober,Filipino,1
alcomendas,Filipino,2
alcones,Filipino,2
alconis,Filipino,1
alcoran,Filipino,2
alcordo,Filipino,2
alcoriza,Filipino,1
alcos,Filipino,2
alcoseba,Filipino,2
alcova,Filipino,1
alcoy,Filipino,1
alcuaz,Filipino,2
aldave,Filipino,1
aldeza,Filipino,2
aldip,Filipino,2
aldover,Filipino,2
aldovino,Filipino,1
alducente,Filipino,2
aledia,Filipino,2
alega,Filipino,2
alegado,Filipino,2
alegarbes,Filipino,1
alegrado,Filipino,2
alegro,Filipino,1
alejandria,Filipino,2
alejandrino,Filipino,1
alejar,Filipino,2
alerre,Filipino,2
alerta,Filipino,2
alesna,Filipino,1
aleta,Filipino,2
alfafara,Filipino,1
alfar,Filipino,2
alfeche,Filipino,1
alfelor,Filipino,2
alferos,Filipino,2
alfiler,Filipino,2
alfon,Filipino,2
alforque,Filipino,2
alforte,Filipino,2
algabre,Filipino,1
algas,Filipino,1
algenio,Filipino,2
algoso,Filipino,2
alhambra,Filipino,2
aliado,Filipino,2
alialy,Filipino,2
alianza,Filipino,1
aliazas,Filipino,2
alibangbang,Filipino,2
alibhai,Indian,2
alibin,Filipino,2
alibutod,Filipino,2
alicando,Filipino,1
alicante,Filipino,1
alicaya,Filipino,2
alicdan,Filipino,2
alido,Filipino,2
alidon,Filipino,2
aliermo,Filipino,2
aliga,Filipino,2
aligada,Filipino,2
aligado,Filipino,2
aligaen,Filipino,2
aligato,Filipino,1
alignay,Filipino,2
alikhan,Indian,2
alikpala,Filipino,2
alilin,Filipino,2
alimagno,Filipino,2
alimboyoguen,Filipino,2
alimohamed,Indian,1
alimohammed,Indian,1
alimorong,Filipino,2
alina,Filipino,2
alindada,Filipino,2
alindayu,Filipino,1
alindogan,Filipino,1
alinea,Filipino,2
alingasa,Filipino,2
alino,Filipino,1
alinsod,Filipino,2
alip,Filipino,2
alipao,Filipino,2
alipio,Filipino,2
alishah,Indian,2
alisna,Filipino,2
alisuag,Filipino,2
alivia,Filipino,2
aliviado,Filipino,2
alivio,Filipino,2
aliwalas,Filipino,2
alkuino,Filipino,2
allado,Filipino,2
allanigue,Filipino,2
allarey,Filipino,2
allones,Filipino,2
almacen,Filipino,2
almachar,Filipino,2
almadin,Filipino,2
almalel,Filipino,2
almanzor,Filipino,1
almaria,Filipino,2
almarines,Filipino,2
almario,Filipino,2
almaula,Indian,1
almazar,Filipino,2
almenario,Filipino,2
almendra,Filipino,2
almendrala,Filipino,2
almendras,Filipino,2
almeria,Filipino,1
almero,Filipino,2
almerol,Filipino,2
almeron,Filipino,1
alminar,Filipino,2
almiranez,Filipino,2
almirante,Filipino,2
almirez,Filipino,1
almirol,Filipino,2
almoete,Filipino,1
almoite,Filipino,1
almojera,Filipino,2
almojuela,Filipino,2
almoneda,Filipino,2
almoradie,Filipino,1
almoro,Filipino,1
almuete,Filipino,2
alnas,Filipino,2
aloba,Filipino,2
alog,Filipino,2
alojado,Filipino,2
alojipan,Filipino,2
alonte,Filipino,2
aloot,Filipino,2
alop,Filipino,1
alorro,Filipino,1
alota,Filipino,2
alovera,Filipino,2
alpas,Filipino,2
alpay,Filipino,1
alpuerto,Filipino,2
alquero,Filipino,2
alqueza,Filipino,2
alquilita,Filipino,1
alquiros,Filipino,2
alsaybar,Filipino,2
alsisto,Filipino,2
alsol,Filipino,2
altamero,Filipino,2
altarejos,Filipino,1
altares,Filipino,2
altea,Filipino,2
altiveros,Filipino,1
altre,Filipino,2
aluag,Filipino,2
aludino,Filipino,2
alumia,Filipino,1
alumno,Filipino,1
alumpe,Filipino,2
alunan,Filipino,2
alupay,Filipino,2
alvaran,Filipino,2
alvarico,Filipino,2
alvendia,Filipino,2
alversado,Filipino,2
alviedo,Filipino,2
alviento,Filipino,1
alviola,Filipino,2
alvior,Filipino,2
alviz,Filipino,2
alwani,Indian,1
alwar,Indian,2
alzona,Filipino,2
amagai,Japanese,1
amagna,Filipino,1
amago,Filipino,1
amaguin,Filipino,2
amakawa,Japanese,2
amano,Japanese,2
amansec,Filipino,1
amantillo,Filipino,2
amanullah,Indian,2
amaria,Indian,2
amatong,Filipino,1
amazona,Filipino,1
ambal,Filipino,2
ambalal,Indian,1
ambalong,Filipino,2
ambas,Filipino,1
ambat,Filipino,2
ambata,Filipino,2
ambekar,Indian,2
ambida,Filipino,2
ambion,Filipino,2
ambito,Filipino,1
ambrocio,Filipino,2
ambulo,Filipino,1
ameeruddin,Indian,1
amemiya,Japanese,2
ametani,Japanese,1
amian,Filipino,1
amigable,Filipino,2
amikura,Japanese,1
amimoto,Japanese,2
amin,Indian,1
amino,Japanese,1
amisola,Filipino,2
amistad,Filipino,1
amistoso,Filipino,2
amiya,Japanese,2
amjad,Indian,1
ammay,Filipino,2
amodo,Filipino,2
amog,Filipino,2
amoguis,Filipino,2
amoranto,Filipino,2
ampil,Filipino,2
ampon,Filipino,2
amponin,Filipino,2
amposta,Filipino,2
amritlal,Indian,2
amuan,Filipino,2
amurao,Filipino,2
an,Korean,1
anacan,Filipino,2
anacta,Filipino,1
anada,Japanese,2
anagaran,Filipino,2
anam,Indian,1
anama,Filipino,1
anana,Filipino,2
ananda,Indian,1
anandam,Indian,2
anandan,Indian,2
ananthakrish,Indian,2
ananthanaray,Indian,2
anantharaman,Indian,2
anasco,Filipino,2
anatalio,Filipino,2
ancajas,Filipino,2
ancheta,Filipino,2
anchita,Filipino,2
ancho,Filipino,1
anciano,Filipino,1
anciro,Filipino,1
ancog,Filipino,2
andaca,Filipino,2
andales,Filipino,2
andalis,Filipino,2
andallo,Filipino,2
andam,Filipino,1
andaya,Filipino,2
andico,Filipino,1
andongo,Filipino,2
andoy,Filipino,2
andrion,Filipino,1
anfone,Filipino,2
angala,Filipino,2
angara,Filipino,2
angat,Filipino,2
angcaya,Filipino,1
angelito,Filipino,2
angeo,Filipino,2
angkico,Filipino,2
anglo,Filipino,1
angoluan,Filipino,1
angsioco,Filipino,1
angtuaco,Filipino,1
angud,Filipino,2
anh,Vietnamese,1
aniag,Filipino,2
aniban,Filipino,2
anicete,Filipino,2
aniciete,Filipino,2
anies,Filipino,2
anilao,Filipino,2
aninag,Filipino,2
aninion,Filipino,2
anit,Filipino,2
anjaria,Indian,2
annamalai,Indian,2
anoba,Filipino,2
anoche,Filipino,2
anolin,Filipino,2
anonas,Filipino,2
anongos,Filipino,2
anonuevo,Filipino,2
anor,Filipino,1
anorico,Filipino,1
anover,Filipino,2
anraku,Japanese,1
ansagay,Filipino,2
antalan,Filipino,2
antani,Indian,2
antaran,Filipino,2
antazo,Filipino,1
anteola,Filipino,2
antero,Filipino,1
antimano,Filipino,2
antioquia,Filipino,2
antipolo,Filipino,2
antiporda,Filipino,2
antiporta,Filipino,2
antipuesto,Filipino,2
antiquera,Filipino,2
antivo,Filipino,2
antolin,Filipino,1
anulacion,Filipino,2
anulao,Filipino,1
anunciacion,Filipino,2
anzai,Japanese,2
ao,Chinese,1
aoanan,Filipino,2
aoi,Japanese,2
aoki,Japanese,2
aono,Japanese,2
aonuma,Japanese,1
aoshima,Japanese,1
aoto,Japanese,2
aoyagi,Japanese,2
aoyama,Japanese,2
apacible,Filipino,2
apaga,Filipino,2
apalisok,Filipino,2
apalit,Filipino,2
apalla,Filipino,2
apanay,Filipino,2
apao,Filipino,1
aparici,Filipino,2
aparri,Filipino,1
apelado,Filipino,2
apellanes,Filipino,2
apellido,Filipino,2
apelo,Filipino,2
apiado,Filipino,2
apigo,Filipino,2
apilado,Filipino,2
apillanes,Filipino,2
apis,Filipino,2
apo,Filipino,2
apolo,Filipino,2
apolona,Filipino,1
apolonio,Filipino,1
apongol,Filipino,2
appadurai,Indian,1
apruebo,Filipino,2
apsay,Filipino,2
apuada,Filipino,2
apuan,Filipino,2
apura,Filipino,2
apuya,Filipino,2
apuyan,Filipino,1
aqui,Filipino,2
aquilizan,Filipino,2
aquinaldo,Filipino,2
aquinde,Filipino,2
aquitania,Filipino,2
arabe,Filipino,2
arabejo,Filipino,2
arackal,Indian,2
aradanas,Filipino,2
arafiles,Filipino,2
araga,Filipino,1
aragaki,Japanese,2
aragoza,Filipino,2
arai,Japanese,2
arakaki,Japanese,2
arakawa,Japanese,2
araki,Japanese,2
arakkal,Indian,1
aralar,Filipino,1
aramaki,Japanese,2
arambulo,Filipino,1
aranca,Filipino,2
arancillo,Filipino,2
arandela,Filipino,2
arandez,Filipino,2
arandia,Filipino,1
araneta,Filipino,1
aranez,Filipino,2
arangorin,Filipino,2
aranico,Filipino,1
araniego,Filipino,2
aranilla,Filipino,2
arante,Filipino,2
aranza,Filipino,1
aranzamendez,Filipino,2
aranzanso,Filipino,1
aranzaso,Filipino,1
arao,Filipino,1
araojo,Filipino,2
araquel,Filipino,2
araracap,Filipino,2
arasaki,Japanese,2
arase,Japanese,2
arashiro,Japanese,2
arastu,Indian,1
aratani,Japanese,2
aratea,Filipino,2
araullo,Filipino,2
arayata,Filipino,2
arbilo,Filipino,1
arbis,Filipino,1
arbitrario,Filipino,2
arbolado,Filipino,2
arbolente,Filipino,2
arcadio,Filipino,1
arcaina,Filipino,2
arcala,Filipino,1
arcalas,Filipino,2
arcamo,Filipino,1
arcangel,Filipino,1
arcaya,Filipino,2
arcebal,Filipino,2
arcebido,Filipino,2
arcellana,Filipino,2
arcelo,Filipino,2
arcelona,Filipino,1
arcena,Filipino,1
arcenal,Filipino,1
arcenas,Filipino,2
arcibal,Filipino,2
arcilla,Filipino,2
arcillas,Filipino,1
arcinas,Filipino,2
arcitio,Filipino,1
arconado,Filipino,2
ardales,Filipino,2
arde,Filipino,1
ardiente,Filipino,2
arejola,Filipino,1
arenzana,Filipino,2
argallon,Filipino,2
argame,Filipino,1
arganosa,Filipino,1
argao,Filipino,2
argarin,Filipino,2
argel,Filipino,1
argonza,Filipino,2
argosino,Filipino,2
argueza,Filipino,2
arguilla,Filipino,2
arguilles,Filipino,1
arguson,Filipino,2
ariate,Filipino,2
aribon,Filipino,2
ariga,Japanese,1
arii,Japanese,2
arikawa,Japanese,2
arillano,Filipino,2
arima,Japanese,2
arimori,Japanese,1
arimoto,Japanese,2
arimura,Japanese,2
arinduque,Filipino,2
arinto,Filipino,1
arioka,Japanese,1
arisaka,Japanese,2
arisawa,Japanese,1
aristorenas,Filipino,2
arita,Japanese,2
ariyama,Japanese,2
ariyoshi,Japanese,2
arizabal,Filipino,2
arizala,Filipino,2
arizo,Filipino,2
arlantico,Filipino,2
armado,Filipino,2
armamento,Filipino,2
armandico,Filipino,2
armedilla,Filipino,2
armonio,Filipino,2
arneja,Indian,1
arnesto,Filipino,1
arnobit,Filipino,2
arnoco,Filipino,1
aroc,Filipino,2
aromin,Filipino,2
arong,Filipino,2
arpon,Filipino,2
arquero,Filipino,2
arquilada,Filipino,2
arquillano,Filipino,2
arquines,Filipino,2
arradaza,Filipino,2
arreza,Filipino,2
arriesgado,Filipino,1
arrogante,Filipino,2
arroz,Filipino,2
arrozal,Filipino,2
arsenal,Filipino,2
artadi,Filipino,2
artates,Filipino,2
artienda,Filipino,2
artugue,Filipino,2
artuz,Filipino,1
arucan,Filipino,2
aruga,Japanese,2
arugay,Filipino,2
arumugam,Indian,1
arunachalam,Indian,2
arzadon,Filipino,2
asaba,Japanese,2
asada,Japanese,2
asadon,Filipino,2
asadullah,Indian,1
asaga,Japanese,1
asahan,Filipino,2
asahara,Japanese,2
asahi,Japanese,2
asahina,Japanese,2
asai,Japanese,2
asaka,Japanese,1
asakawa,Japanese,2
asaki,Japanese,2
asako,Japanese,1
asakura,Japanese,2
asama,Japanese,1
asami,Japanese,2
asanion,Filipino,2
asano,Japanese,2
asanuma,Japanese,2
asanza,Filipino,1
asao,Japanese,2
asaoka,Japanese,2
asari,Japanese,1
asato,Japanese,2
asayama,Japanese,2
asazuma,Japanese,1
ascalon,Filipino,1
ascano,Filipino,2
asejo,Filipino,2
asercion,Filipino,2
aseron,Filipino,2
asghar,Indian,1
ashabhai,Indian,1
ashfaq,Indian,1
ashida,Japanese,2
ashihara,Japanese,2
ashikaga,Japanese,2
ashikawa,Japanese,2
ashimine,Japanese,2
ashizawa,Japanese,2
asias,Filipino,1
asiatico,Filipino,1
asiddao,Filipino,2
asido,Filipino,1
asif,Indian,1
asinas,Filipino,2
asino,Filipino,2
asio,Filipino,2
asirvatham,Indian,2
asis,Filipino,2
asisten,Filipino,2
asistin,Filipino,2
asistio,Filipino,2
asistores,Filipino,2
askari,Indian,1
aso,Japanese,1
asoncion,Filipino,2
aspacio,Filipino,2
asperas,Filipino,1
asperilla,Filipino,2
aspili,Filipino,2
aspillera,Filipino,2
asprec,Filipino,2
asprer,Filipino,2
asthana,Indian,2
astilla,Filipino,2
astillero,Filipino,2
astrande,Filipino,2
astraquillo,Filipino,1
astrero,Filipino,2
astronomo,Filipino,2
asuelo,Filipino,2
asuzano,Filipino,1
atabay,Filipino,1
atacador,Filipino,1
atad,Filipino,2
ataka,Japanese,2
atal,Indian,1
atangan,Filipino,2
atarashi,Japanese,1
atay,Filipino,1
atayan,Filipino,2
atega,Filipino,2
atencion,Filipino,2
atendido,Filipino,2
atengco,Filipino,2
atento,Filipino,1
aterrado,Filipino,2
athavale,Indian,2
atienza,Filipino,2
atiga,Filipino,2
atijera,Filipino,2
atillo,Filipino,2
atluri,Indian,1
atmosfera,Filipino,2
atobe,Japanese,1
atrero,Filipino,2
atsumi,Japanese,2
attri,Indian,1
atud,Filipino,2
atup,Filipino,2
atutubo,Filipino,2
atwal,Indian,1
au,Chinese,1
audije,Filipino,2
auditor,Filipino,1
auduong,Vietnamese,2
auh,Korean,1
aujero,Filipino,2
aujla,Indian,1
aulakh,Indian,1
aumentado,Filipino,2
aurea,Filipino,1
aurellado,Filipino,1
aurellano,Filipino,2
aureus,Filipino,2
aurigue,Filipino,1
ausa,Filipino,2
austero,Filipino,1
austria,Filipino,2
austriaco,Filipino,2
auyang,Chinese,2
auyeung,Chinese,2
auyong,Chinese,2
auyoung,Chinese,2
avadhani,Indian,2
avancena,Filipino,1
avanzado,Filipino,2
avasthi,Indian,2
avelino,Filipino,1
avellana,Filipino,1
avellanosa,Filipino,2
avenido,Filipino,1
avenir,Filipino,2
averia,Filipino,2
averilla,Filipino,2
averion,Filipino,2
avestruz,Filipino,2
aviado,Filipino,2
avichal,Indian,1
avillanoza,Filipino,2
aviso,Filipino,1
avula,Indian,2
awa,Filipino,1
awai,Japanese,2
awasthi,Indian,1
awata,Japanese,1
awaya,Japanese,2
awayan,Filipino,2
awit,Filipino,2
axibal,Filipino,2
ayaay,Filipino,2
ayabe,Japanese,2
ayalde,Filipino,2
ayalin,Filipino,2
ayap,Filipino,1
ayapana,Filipino,1
aycardo,Filipino,2
ayengar,Indian,1
ayento,Filipino,2
ayeras,Filipino,2
aying,Filipino,2
ayonayon,Filipino,2
ayop,Filipino,2
ayran,Filipino,2
ayroso,Filipino,2
ayson,Filipino,2
aytona,Filipino,2
ayukawa,Japanese,1
ayuson,Filipino,1
ayuyao,Filipino,2
ayyangar,Indian,1
ayyar,Indian,1
azada,Filipino,2
azama,Japanese,2
azarcon,Filipino,2
azares,Filipino,2
azariah,Indian,1
azarraga,Filipino,1
azaula,Filipino,1
azcueta,Filipino,2
azegami,Japanese,1
azizuddin,Indian,1
azmi,Indian,1
azores,Filipino,1
azucenas,Filipino,2
azuelo,Filipino,2
azul,Filipino,1
azuma,Japanese,2
azumi,Japanese,2
azurin,Filipino,2
ba,Vietnamese,1
babao,Filipino,2
babaran,Filipino,2
babasa,Filipino,2
babbar,Indian,1
babia,Filipino,1
babiera,Filipino,2
babista,Filipino,2
bacabac,Filipino,2
bacalan,Filipino,2
bacaling,Filipino,2
bacalla,Filipino,1
bacalso,Filipino,2
bacaltos,Filipino,1
bacalzo,Filipino,2
bacani,Filipino,2
bacanto,Filipino,2
bacareza,Filipino,2
bacarisas,Filipino,1
bacarro,Filipino,2
bacatan,Filipino,2
bacay,Filipino,2
bacayo,Filipino,2
baccam,Vietnamese,2
baccay,Filipino,2
bacdayan,Filipino,1
baclagan,Filipino,2
baclay,Filipino,1
baclayon,Filipino,2
baclig,Filipino,2
baclit,Filipino,2
bacnat,Filipino,2
bacod,Filipino,2
bacolod,Filipino,2
bacolor,Filipino,2
bacomo,Filipino,2
bacong,Filipino,1
bacosa,Filipino,1
bactad,Filipino,2
bactat,Filipino,2
bactol,Filipino,2
bacud,Filipino,2
